Symbol,Date,Prd_End,Estimate,Reported,Surprise
GLW,2019-10-29,Sep 2019,0.4,0.44,0.09999999999999995
GM,2019-10-29,Sep 2019,1.18,1.72,0.45762711864406785
GOOG,2019-10-28,Sep 2019,2.57,0.12,-0.9533073929961089
GOOGL,2019-10-28,Sep 2019,2.57,0.12,-0.9533073929961089
GPC,2019-10-17,Sep 2019,1.47,1.5,0.02040816326530614
GPN,2019-10-31,Sep 2019,1.66,1.7,0.024096385542168697
GPS,2019-11-21,Oct 2019,0.51,0.53,0.03921568627450984
GRMN,2019-10-30,Sep 2019,0.94,1.27,0.35106382978723416
GS,2019-10-15,Sep 2019,5.03,4.79,-0.04771371769383702
GWW,2019-10-23,Sep 2019,4.44,4.26,-0.040540540540540675
HAL,2019-10-21,Sep 2019,0.34,0.34,0.0
HAS,2019-10-22,Sep 2019,2.22,1.84,-0.1711711711711712
HBAN,2019-10-24,Sep 2019,0.33,0.34,0.030303030303030328
HBI,2019-10-31,Sep 2019,0.54,0.54,0.0
HCA,2019-10-29,Sep 2019,2.14,2.23,0.04205607476635507
HD,2019-11-19,Oct 2019,2.53,2.53,0.0
HES,2019-10-30,Sep 2019,0.32,0.32,0.0
HFC,2019-10-31,Sep 2019,1.43,1.68,0.17482517482517484
HIG,2019-11-04,Sep 2019,1.26,1.5,0.19047619047619047
HII,2019-11-07,Sep 2019,3.63,3.74,0.03030303030303039
HLT,2019-10-23,Sep 2019,1.02,1.05,0.029411764705882377
HOG,2019-10-22,Sep 2019,0.51,0.55,0.07843137254901968
HOLX,2019-11-06,Sep 2019,0.65,0.65,0.0
HON,2019-10-17,Sep 2019,2.01,2.08,0.034825870646766316
HP,2019-11-14,Sep 2019,0.24,0.39,0.6250000000000001
HPE,2019-11-25,Oct 2019,0.46,0.49,0.06521739130434775
HPQ,2019-11-26,Oct 2019,0.58,0.6,0.03448275862068969
HRB,2019-12-04,Oct 2019,0.91,0.85,-0.06593406593406599
HRL,2019-11-26,Oct 2019,0.47,0.47,0.0
HSIC,2019-11-05,Sep 2019,0.86,0.9,0.046511627906976785
HST,2019-11-05,Sep 2019,0.34,0.35,0.029411764705882214
HSY,2019-10-24,Sep 2019,1.61,1.61,0.0
HUM,2019-11-06,Sep 2019,4.58,5.03,0.09825327510917034
IBM,2019-10-16,Sep 2019,2.64,2.68,0.015151515151515164
ICE,2019-10-31,Sep 2019,0.95,1.06,0.11578947368421064
IDXX,2019-10-31,Sep 2019,1.13,1.24,0.09734513274336293
IFF,2019-11-04,Sep 2019,1.54,1.53,-0.006493506493506499
ILMN,2019-10-24,Sep 2019,1.4,1.93,0.3785714285714286
INCY,2019-10-29,Sep 2019,0.65,0.82,0.26153846153846144
INFO,2019-09-24,Aug 2019,0.63,0.67,0.06349206349206354
INTC,2019-10-24,Sep 2019,1.24,1.42,0.1451612903225806
INTU,2019-11-21,Oct 2019,0.26,0.41,0.5769230769230768
IP,2019-10-31,Sep 2019,1.0,1.09,0.09000000000000008
IPG,2019-10-22,Sep 2019,0.48,0.49,0.020833333333333353
IPGP,2019-10-29,Sep 2019,1.19,1.08,-0.09243697478991586
IQV,2019-10-30,Sep 2019,1.57,1.6,0.019108280254777087
IR,2019-10-28,Sep 2019,0.37,0.41,0.10810810810810806
IRM,2019-10-31,Sep 2019,0.59,0.32,-0.45762711864406774
ISRG,2019-10-17,Sep 2019,2.96,3.43,0.15878378378378386
IT,2019-10-31,Sep 2019,0.45,0.7,0.5555555555555555
ITW,2019-10-25,Sep 2019,1.94,2.04,0.051546391752577365
IVZ,2019-10-23,Sep 2019,0.57,0.7,0.2280701754385965
JBHT,2019-10-15,Sep 2019,1.44,1.4,-0.027777777777777804
JCI,2019-11-07,Sep 2019,0.76,0.78,0.026315789473684233
JKHY,2019-11-04,Sep 2019,1.04,1.16,0.11538461538461527
JNJ,2019-10-15,Sep 2019,2.0,2.12,0.06000000000000005
JNPR,2019-10-24,Sep 2019,0.46,0.48,0.04347826086956513
JPM,2019-10-15,Sep 2019,2.44,2.68,0.09836065573770501
JWN,2019-11-21,Oct 2019,0.65,0.81,0.2461538461538462
K,2019-10-29,Sep 2019,0.91,1.03,0.13186813186813187
KEY,2019-10-17,Sep 2019,0.47,0.48,0.02127659574468087
KEYS,2019-11-26,Oct 2019,1.18,1.33,0.12711864406779674
KHC,2019-10-31,Sep 2019,0.53,0.69,0.30188679245283
KIM,2019-10-24,Sep 2019,0.36,0.14,-0.611111111111111
KLAC,2019-10-30,Sep 2019,2.2,2.48,0.12727272727272718
KMB,2019-10-22,Sep 2019,1.8,1.84,0.02222222222222224
KMI,2019-10-16,Sep 2019,0.22,0.22,0.0
KMX,2019-09-24,Aug 2019,1.33,1.4,0.0526315789473683
KO,2019-10-18,Sep 2019,0.56,0.56,0.0
KR,2019-12-05,Oct 2019,0.48,0.47,-0.020833333333333353
KSS,2019-11-19,Oct 2019,0.85,0.74,-0.12941176470588234
KSU,2019-10-18,Sep 2019,1.77,1.94,0.09604519774011296
L,2019-10-28,Sep 2019,0.75,0.74,-0.013333333333333345
LB,2019-11-20,Oct 2019,0.02,0.02,0.0
LEG,2019-10-28,Sep 2019,0.67,0.76,0.13432835820895517
LEN,2019-10-02,Aug 2019,1.32,1.59,0.20454545454545456
LH,2019-10-24,Sep 2019,2.84,2.9,0.021126760563380302
LHX,2019-10-30,Sep 2019,2.39,2.58,0.07949790794979077
LIN,2019-11-12,Sep 2019,1.78,1.94,0.08988764044943816
LKQ,2019-10-31,Sep 2019,0.57,0.61,0.0701754385964913
LLY,2019-10-23,Sep 2019,1.43,1.48,0.034965034965034995
LMT,2019-10-22,Sep 2019,5.03,5.66,0.12524850894632203
LNC,2019-10-30,Sep 2019,2.4,2.22,-0.07499999999999989
LOW,2019-11-20,Oct 2019,1.35,1.41,0.044444444444444314
LRCX,2019-10-23,Sep 2019,3.0,3.18,0.06000000000000005
LUV,2019-10-24,Sep 2019,1.09,1.23,0.12844036697247696
LW,2019-10-02,Aug 2019,0.8,0.79,-0.012500000000000011
LYB,2019-11-01,Sep 2019,2.78,2.7,-0.028776978417266053
M,2019-11-21,Oct 2019,0.01,0.07,6.0
MA,2019-10-29,Sep 2019,2.01,2.15,0.06965174129353241
MAA,2019-10-30,Sep 2019,1.55,0.49,-0.6838709677419355
MAC,2019-10-31,Sep 2019,0.88,0.33,-0.625
MAR,2019-11-04,Sep 2019,1.49,1.47,-0.01342281879194632
MAS,2019-10-30,Sep 2019,0.7,0.68,-0.02857142857142844
MCD,2019-10-22,Sep 2019,2.2,2.11,-0.04090909090909104
MCHP,2019-11-05,Sep 2019,1.43,1.43,0.0
MCK,2019-10-30,Sep 2019,3.6,3.6,0.0
MCO,2019-10-30,Sep 2019,1.99,2.15,0.08040201005025122
MDLZ,2019-10-29,Sep 2019,0.61,0.64,0.04918032786885251
MDT,2019-11-19,Oct 2019,1.28,1.31,0.02343750000000002
MET,2019-10-30,Sep 2019,1.41,1.27,-0.0992907801418439
MGM,2019-10-30,Sep 2019,0.29,0.31,0.06896551724137938
MHK,2019-10-24,Sep 2019,2.64,2.75,0.041666666666666616
MKC,2019-10-01,Aug 2019,1.29,1.46,0.13178294573643404
MKTX,2019-10-23,Sep 2019,1.4,1.42,0.0142857142857143
MLM,2019-10-29,Sep 2019,3.5,3.96,0.13142857142857142
MMC,2019-10-29,Sep 2019,0.69,0.77,0.11594202898550736
MMM,2019-10-24,Sep 2019,2.47,2.58,0.044534412955465535
MNST,2019-11-07,Sep 2019,0.54,0.55,0.018518518518518535
MO,2019-10-31,Sep 2019,1.14,1.08,-0.05263157894736828
MOS,2019-11-04,Sep 2019,0.27,0.08,-0.7037037037037037
MPC,2019-10-31,Sep 2019,1.3,1.63,0.2538461538461537
MRK,2019-10-29,Sep 2019,1.25,1.51,0.20800000000000002
MRO,2019-11-06,Sep 2019,0.04,0.14,2.5
MS,2019-10-17,Sep 2019,1.1,1.21,0.09999999999999988
MSCI,2019-10-31,Sep 2019,1.59,1.68,0.05660377358490557
MSFT,2019-10-23,Sep 2019,1.25,1.38,0.10399999999999991
MSI,2019-10-30,Sep 2019,1.96,2.04,0.04081632653061228
MTB,2019-10-17,Sep 2019,3.61,3.47,-0.03878116343490296
MTD,2019-11-07,Sep 2019,5.71,5.77,0.010507880910682945
MU,2019-09-26,Aug 2019,0.48,0.56,0.16666666666666682
MXIM,2019-10-29,Sep 2019,0.49,0.52,0.06122448979591842
MYL,2019-11-05,Sep 2019,1.14,1.17,0.026315789473684237
NBL,2019-11-07,Sep 2019,0.11,0.1,-0.09090909090909087
NCLH,2019-11-07,Sep 2019,2.15,2.23,0.03720930232558143
